vehicle_type;year_of_manufacture;engine_volume;fuel_type;number_of_km;vehicle_model;price_total;status;time_stamp
OCTAVIA 1.6 TDI 66kW Ambition Combi, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;183903;Škoda Octavia;199000;for_sale;11.09.2020 23:44
OCTAVIA 1.6 TDI 81kW Ambition, liftback, 1 598 ccm;2016;1 598 ccm;NAFTA;159681;Škoda Octavia;209000;for_sale;11.09.2020 23:44
OCTAVIA 1.6 TDI 66kW Active Combi, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;169671;Škoda Octavia;219000;for_sale;11.09.2020 23:44
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;164296;Škoda Octavia;269000;for_sale;11.09.2020 23:44
OCTAVIA 1.6 TDI 81kW Ambition Fresh Combi, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;119547;Škoda Octavia;269000;for_sale;11.09.2020 23:44
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;170915;Škoda Octavia;279000;for_sale;11.09.2020 23:44
OCTAVIA 1.6 TDI 81kW Ambition Fresh Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;136505;Škoda Octavia;279000;for_sale;11.09.2020 23:44
OCTAVIA 1.6 TDI 85kWActive, hatchback, 1 598 ccm;2017;1 598 ccm;NAFTA;51755;Škoda Octavia;289000;for_sale;11.09.2020 23:44
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;135746;Škoda Octavia;289000;for_sale;11.09.2020 23:44
OCTAVIA 1.4 TSI DSG Elegance Combi, kombi, 1 395 ccm;2015;1 395 ccm;BENZÍN;111708;Škoda Octavia;299000;for_sale;11.09.2020 23:44
OCTAVIA 1.6 TDI 81kW Style 4x4, hatchback, 1 598 ccm;2016;1 598 ccm;NAFTA;154297;Škoda Octavia;299000;for_sale;11.09.2020 23:44
OCTAVIA 2.0 TDI 110kW L&K, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;201401;Škoda Octavia;299000;for_sale;11.09.2020 23:44
Octavia Combi 2.0TDI DSG STYLE, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;95441;Škoda Octavia;309000;for_sale;11.09.2020 23:44
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;183631;Škoda Octavia;319000;for_sale;11.09.2020 23:44
OCTAVIA 1.4 TSI 110kW DSG Style Combi, kombi, 1 395 ccm;2016;1 395 ccm;BENZÍN;89133;Škoda Octavia;319000;for_sale;11.09.2020 23:44
OCTAVIA 1.4 TSI Elegance Combi, kombi, 1 395 ccm;2015;1 395 ccm;BENZÍN;41742;Škoda Octavia;339000;for_sale;11.09.2020 23:44
OCTAVIA 1.0 TSI 85kW Ambition Fresh Combi, kombi, 999 ccm;2017;999 ccm;BENZÍN;59457;Škoda Octavia;339000;for_sale;11.09.2020 23:44
OCTAVIA 1.4 TSI 110kW DSG Style Combi, kombi, 1 395 ccm;2017;1 395 ccm;BENZÍN;79676;Škoda Octavia;339000;for_sale;11.09.2020 23:44
OCTAVIA 1.6 TDI 81kW Ambition Combi 4x4, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;85753;Škoda Octavia;349000;for_sale;11.09.2020 23:44
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;110199;Škoda Octavia;349000;for_sale;11.09.2020 23:44
OCTAVIA 2.0 TDI 110kW DSG Style Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;81867;Škoda Octavia;359000;for_sale;11.09.2020 23:44
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2018;1 968 ccm;NAFTA;135337;Škoda Octavia;359000;for_sale;11.09.2020 23:44
OCTAVIA 2.0 TDI 135 kW DSG Style 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;73040;Škoda Octavia;399000;for_sale;11.09.2020 23:44
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;73530;Škoda Octavia;399000;for_sale;11.09.2020 23:44
OCTAVIA 1.8 TSI 132kW DSG L&K Combi, kombi, 1 798 ccm;2017;1 798 ccm;BENZÍN;148285;Škoda Octavia;399000;for_sale;11.09.2020 23:44
OCTAVIA 2.0 TDI 135 kW 4x4 DSG Scout Combi, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;166626;Škoda Octavia;419000;for_sale;11.09.2020 23:44
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2018;1 968 ccm;NAFTA;42916;Škoda Octavia;439000;for_sale;11.09.2020 23:44
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2018;1 968 ccm;NAFTA;53011;Škoda Octavia;449000;for_sale;11.09.2020 23:44
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2018;1 968 ccm;NAFTA;34654;Škoda Octavia;459000;for_sale;11.09.2020 23:44
OCTAVIA 1.4 TSI 110kW Style Combi, kombi, 1 395 ccm;2018;1 395 ccm;BENZÍN;38724;Škoda Octavia;459000;for_sale;11.09.2020 23:44
OCTAVIA 1.8 TSI 132kW DSG Style Combi, kombi, 1 798 ccm;2017;1 798 ccm;BENZÍN;66597;Škoda Octavia;459000;for_sale;11.09.2020 23:44
OCTAVIA 2.0 TDI 110kW DSG Style Combi, kombi, 1 968 ccm;2018;1 968 ccm;NAFTA;53489;Škoda Octavia;469000;for_sale;11.09.2020 23:44
OCTAVIA 2.0 TDI CR 4x4 DSG RS Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;86414;Škoda Octavia;469000;for_sale;11.09.2020 23:44
OCTAVIA 2.0 TDI 110kW DSG Style, liftback, 1 968 ccm;2018;1 968 ccm;NAFTA;42893;Škoda Octavia;479000;for_sale;11.09.2020 23:44
OCTAVIA 2.0 TDI 135 kW DSG L&K 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;61591;Škoda Octavia;499000;for_sale;11.09.2020 23:44
OCTAVIA 2.0 TDI 135 kW 4x4 DSG Scout Combi, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;70925;Škoda Octavia;519000;for_sale;11.09.2020 23:44
OCTAVIA 2.0 TDI 4x4 DSG RS Combi, kombi, 1 968 ccm;2018;1 968 ccm;NAFTA;52458;Škoda Octavia;599000;for_sale;11.09.2020 23:44
OCTAVIA 1.6 TDI 66kW Ambition Combi, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;183903;Škoda Octavia;199000;for_sale;17.09.2020 18:25
OCTAVIA 1.6 TDI 81kW Ambition, liftback, 1 598 ccm;2016;1 598 ccm;NAFTA;159681;Škoda Octavia;209000;for_sale;17.09.2020 18:25
OCTAVIA 1.6 TDI 66kW Active Combi, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;169671;Škoda Octavia;219000;for_sale;17.09.2020 18:25
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;164296;Škoda Octavia;269000;for_sale;17.09.2020 18:25
OCTAVIA 1.6 TDI 81kW Ambition Fresh Combi, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;119547;Škoda Octavia;269000;for_sale;17.09.2020 18:25
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;170915;Škoda Octavia;279000;for_sale;17.09.2020 18:25
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;135746;Škoda Octavia;289000;for_sale;17.09.2020 18:25
OCTAVIA 1.4 TSI DSG Elegance Combi, kombi, 1 395 ccm;2015;1 395 ccm;BENZÍN;111708;Škoda Octavia;299000;for_sale;17.09.2020 18:25
OCTAVIA 1.6 TDI 81kW Style 4x4, hatchback, 1 598 ccm;2016;1 598 ccm;NAFTA;154297;Škoda Octavia;299000;for_sale;17.09.2020 18:25
OCTAVIA 2.0 TDI 110kW L&K, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;201401;Škoda Octavia;299000;for_sale;17.09.2020 18:25
Octavia Combi 2.0TDI DSG STYLE, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;95441;Škoda Octavia;309000;for_sale;17.09.2020 18:25
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;183631;Škoda Octavia;319000;for_sale;17.09.2020 18:25
OCTAVIA 1.4 TSI 110kW DSG Style Combi, kombi, 1 395 ccm;2016;1 395 ccm;BENZÍN;89133;Škoda Octavia;319000;for_sale;17.09.2020 18:25
OCTAVIA 1.4 TSI Elegance Combi, kombi, 1 395 ccm;2015;1 395 ccm;BENZÍN;41742;Škoda Octavia;339000;for_sale;17.09.2020 18:25
OCTAVIA 1.0 TSI 85kW Ambition Fresh Combi, kombi, 999 ccm;2017;999 ccm;BENZÍN;59457;Škoda Octavia;339000;for_sale;17.09.2020 18:25
OCTAVIA 1.4 TSI 110kW DSG Style Combi, kombi, 1 395 ccm;2017;1 395 ccm;BENZÍN;79676;Škoda Octavia;339000;for_sale;17.09.2020 18:25
OCTAVIA 1.6 TDI 81kW Ambition Combi 4x4, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;85753;Škoda Octavia;349000;for_sale;17.09.2020 18:25
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;110199;Škoda Octavia;349000;for_sale;17.09.2020 18:25
OCTAVIA 2.0 TDI 110kW DSG Style Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;81867;Škoda Octavia;359000;for_sale;17.09.2020 18:25
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2018;1 968 ccm;NAFTA;135337;Škoda Octavia;359000;for_sale;17.09.2020 18:25
OCTAVIA 2.0 TDI 135 kW DSG Style 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;73040;Škoda Octavia;399000;for_sale;17.09.2020 18:25
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;73530;Škoda Octavia;399000;for_sale;17.09.2020 18:25
OCTAVIA 1.8 TSI 132kW DSG L&K Combi, kombi, 1 798 ccm;2017;1 798 ccm;BENZÍN;148285;Škoda Octavia;399000;for_sale;17.09.2020 18:25
OCTAVIA 2.0 TDI 135 kW 4x4 DSG Scout Combi, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;166626;Škoda Octavia;419000;for_sale;17.09.2020 18:25
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2018;1 968 ccm;NAFTA;42916;Škoda Octavia;439000;for_sale;17.09.2020 18:25
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2018;1 968 ccm;NAFTA;53011;Škoda Octavia;449000;for_sale;17.09.2020 18:25
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2018;1 968 ccm;NAFTA;34654;Škoda Octavia;459000;for_sale;17.09.2020 18:25
OCTAVIA 1.4 TSI 110kW Style Combi, kombi, 1 395 ccm;2018;1 395 ccm;BENZÍN;38724;Škoda Octavia;459000;for_sale;17.09.2020 18:25
OCTAVIA 1.8 TSI 132kW DSG Style Combi, kombi, 1 798 ccm;2017;1 798 ccm;BENZÍN;66597;Škoda Octavia;459000;for_sale;17.09.2020 18:25
OCTAVIA 2.0 TDI 110kW DSG Style Combi, kombi, 1 968 ccm;2018;1 968 ccm;NAFTA;53489;Škoda Octavia;469000;for_sale;17.09.2020 18:25
OCTAVIA 2.0 TDI CR 4x4 DSG RS Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;86414;Škoda Octavia;469000;for_sale;17.09.2020 18:25
OCTAVIA 2.0 TDI 110kW DSG Style, liftback, 1 968 ccm;2018;1 968 ccm;NAFTA;42893;Škoda Octavia;479000;for_sale;17.09.2020 18:25
OCTAVIA 2.0 TDI 135 kW DSG L&K 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;61591;Škoda Octavia;499000;for_sale;17.09.2020 18:25
OCTAVIA 2.0 TDI 135 kW 4x4 DSG Scout Combi, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;70925;Škoda Octavia;519000;for_sale;17.09.2020 18:25
OCTAVIA 2.0 TDI 4x4 DSG RS Combi, kombi, 1 968 ccm;2018;1 968 ccm;NAFTA;52458;Škoda Octavia;599000;for_sale;17.09.2020 18:25
OCTAVIA 1.6 TDI 66kW Ambition Combi, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;183903;Škoda Octavia;199000;for_sale;21.09.2020 18:27
OCTAVIA 1.6 TDI 81kW Ambition, liftback, 1 598 ccm;2016;1 598 ccm;NAFTA;159681;Škoda Octavia;209000;for_sale;21.09.2020 18:27
OCTAVIA 1.6 TDI 66kW Active Combi, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;169671;Škoda Octavia;219000;for_sale;21.09.2020 18:27
OCTAVIA 1.6 TDI 81kW Ambition Fresh Combi, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;119547;Škoda Octavia;269000;for_sale;21.09.2020 18:27
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;170915;Škoda Octavia;279000;for_sale;21.09.2020 18:27
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;135746;Škoda Octavia;289000;for_sale;21.09.2020 18:27
OCTAVIA 1.6 TDI 81kW Style 4x4, hatchback, 1 598 ccm;2016;1 598 ccm;NAFTA;154297;Škoda Octavia;299000;for_sale;21.09.2020 18:27
OCTAVIA 2.0 TDI 110kW L&K, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;201401;Škoda Octavia;299000;for_sale;21.09.2020 18:27
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;183631;Škoda Octavia;319000;for_sale;21.09.2020 18:27
OCTAVIA 1.4 TSI 110kW DSG Style Combi, kombi, 1 395 ccm;2016;1 395 ccm;BENZÍN;89133;Škoda Octavia;319000;for_sale;21.09.2020 18:27
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;156523;Škoda Octavia;329000;for_sale;21.09.2020 18:27
OCTAVIA 1.4 TSI Elegance Combi, kombi, 1 395 ccm;2015;1 395 ccm;BENZÍN;41742;Škoda Octavia;339000;for_sale;21.09.2020 18:27
OCTAVIA 1.0 TSI 85kW Ambition Fresh Combi, kombi, 999 ccm;2017;999 ccm;BENZÍN;59457;Škoda Octavia;339000;for_sale;21.09.2020 18:27
OCTAVIA 1.4 TSI 110kW DSG Style Combi, kombi, 1 395 ccm;2017;1 395 ccm;BENZÍN;79676;Škoda Octavia;339000;for_sale;21.09.2020 18:27
OCTAVIA 1.6 TDI 81kW Ambition Combi 4x4, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;85753;Škoda Octavia;349000;for_sale;21.09.2020 18:27
OCTAVIA 1.0 TSI 85kW Style Combi, kombi, 999 ccm;2017;999 ccm;BENZÍN;100878;Škoda Octavia;349000;for_sale;21.09.2020 18:27
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;110199;Škoda Octavia;349000;for_sale;21.09.2020 18:27
OCTAVIA 2.0 TDI 110kW DSG Style Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;81867;Škoda Octavia;359000;for_sale;21.09.2020 18:27
OCTAVIA 2.0 TDI 135 kW DSG Style 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;73040;Škoda Octavia;399000;for_sale;21.09.2020 18:27
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;73530;Škoda Octavia;399000;for_sale;21.09.2020 18:27
OCTAVIA 1.8 TSI 132kW DSG L&K Combi, kombi, 1 798 ccm;2017;1 798 ccm;BENZÍN;148285;Škoda Octavia;399000;for_sale;21.09.2020 18:27
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2018;1 968 ccm;NAFTA;42916;Škoda Octavia;439000;for_sale;21.09.2020 18:27
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2018;1 968 ccm;NAFTA;53011;Škoda Octavia;449000;for_sale;21.09.2020 18:27
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2018;1 968 ccm;NAFTA;34654;Škoda Octavia;459000;for_sale;21.09.2020 18:27
OCTAVIA 1.4 TSI 110kW Style Combi, kombi, 1 395 ccm;2018;1 395 ccm;BENZÍN;38724;Škoda Octavia;459000;for_sale;21.09.2020 18:27
OCTAVIA 1.8 TSI 132kW DSG Style Combi, kombi, 1 798 ccm;2017;1 798 ccm;BENZÍN;66597;Škoda Octavia;459000;for_sale;21.09.2020 18:27
OCTAVIA 2.0 TDI 110kW DSG Style Combi, kombi, 1 968 ccm;2018;1 968 ccm;NAFTA;53489;Škoda Octavia;469000;for_sale;21.09.2020 18:27
OCTAVIA 2.0 TDI CR 4x4 DSG RS Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;86414;Škoda Octavia;469000;for_sale;21.09.2020 18:27
OCTAVIA 2.0 TDI 135 kW DSG L&K 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;61591;Škoda Octavia;499000;for_sale;21.09.2020 18:27
OCTAVIA 2.0 TDI 135 kW 4x4 DSG Scout Combi, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;70925;Škoda Octavia;519000;for_sale;21.09.2020 18:27
OCTAVIA 2.0 TDI 4x4 DSG RS Combi, kombi, 1 968 ccm;2018;1 968 ccm;NAFTA;52458;Škoda Octavia;599000;for_sale;21.09.2020 18:27
OCTAVIA 1.6 TDI 66kW Ambition Combi, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;183903;Škoda Octavia;199000;for_sale;22.09.2020 16:25
OCTAVIA 1.6 TDI 81kW Ambition, liftback, 1 598 ccm;2016;1 598 ccm;NAFTA;159681;Škoda Octavia;209000;for_sale;22.09.2020 16:25
OCTAVIA 1.6 TDI 66kW Active Combi, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;169671;Škoda Octavia;219000;for_sale;22.09.2020 16:25
OCTAVIA 1.6 TDI 81kW Ambition Fresh Combi, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;119547;Škoda Octavia;269000;for_sale;22.09.2020 16:25
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;170915;Škoda Octavia;279000;for_sale;22.09.2020 16:25
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;135746;Škoda Octavia;289000;for_sale;22.09.2020 16:25
OCTAVIA 1.6 TDI 81kW Style 4x4, hatchback, 1 598 ccm;2016;1 598 ccm;NAFTA;154297;Škoda Octavia;299000;for_sale;22.09.2020 16:25
OCTAVIA 2.0 TDI 110kW L&K, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;201401;Škoda Octavia;299000;for_sale;22.09.2020 16:25
OCTAVIA 1.4 CNG Ambition G-TEC Combi, kombi, 1 395 ccm;2017;1 395 ccm;ZEMNÍ PLYN;154963;Škoda Octavia;309000;for_sale;22.09.2020 16:25
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;183631;Škoda Octavia;319000;for_sale;22.09.2020 16:25
OCTAVIA 1.4 TSI 110kW DSG Style Combi, kombi, 1 395 ccm;2016;1 395 ccm;BENZÍN;89133;Škoda Octavia;319000;for_sale;22.09.2020 16:25
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;156523;Škoda Octavia;329000;for_sale;22.09.2020 16:25
OCTAVIA 1.0 TSI 85kW Ambition Fresh Combi, kombi, 999 ccm;2017;999 ccm;BENZÍN;59457;Škoda Octavia;339000;for_sale;22.09.2020 16:25
OCTAVIA 1.4 TSI 110kW DSG Style Combi, kombi, 1 395 ccm;2017;1 395 ccm;BENZÍN;79676;Škoda Octavia;339000;for_sale;22.09.2020 16:25
OCTAVIA 1.6 TDI 81kW Ambition Combi 4x4, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;85753;Škoda Octavia;349000;for_sale;22.09.2020 16:25
OCTAVIA 1.0 TSI 85kW Style Combi, kombi, 999 ccm;2017;999 ccm;BENZÍN;100878;Škoda Octavia;349000;for_sale;22.09.2020 16:25
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;110199;Škoda Octavia;349000;for_sale;22.09.2020 16:25
OCTAVIA 2.0 TDI 110kW DSG Style Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;81867;Škoda Octavia;359000;for_sale;22.09.2020 16:25
OCTAVIA 2.0 TDI 135 kW DSG Style 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;73040;Škoda Octavia;399000;for_sale;22.09.2020 16:25
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;73530;Škoda Octavia;399000;for_sale;22.09.2020 16:25
OCTAVIA 1.8 TSI 132kW DSG L&K Combi, kombi, 1 798 ccm;2017;1 798 ccm;BENZÍN;148285;Škoda Octavia;399000;for_sale;22.09.2020 16:25
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2018;1 968 ccm;NAFTA;42916;Škoda Octavia;439000;for_sale;22.09.2020 16:25
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2018;1 968 ccm;NAFTA;53011;Škoda Octavia;449000;for_sale;22.09.2020 16:25
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2018;1 968 ccm;NAFTA;34654;Škoda Octavia;459000;for_sale;22.09.2020 16:25
OCTAVIA 1.4 TSI 110kW Style Combi, kombi, 1 395 ccm;2018;1 395 ccm;BENZÍN;38724;Škoda Octavia;459000;for_sale;22.09.2020 16:25
OCTAVIA 1.8 TSI 132kW DSG Style Combi, kombi, 1 798 ccm;2017;1 798 ccm;BENZÍN;66597;Škoda Octavia;459000;for_sale;22.09.2020 16:25
OCTAVIA 2.0 TDI 110kW DSG Style Combi, kombi, 1 968 ccm;2018;1 968 ccm;NAFTA;53489;Škoda Octavia;469000;for_sale;22.09.2020 16:25
OCTAVIA 2.0 TDI CR 4x4 DSG RS Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;86414;Škoda Octavia;469000;for_sale;22.09.2020 16:25
OCTAVIA 2.0 TDI 135 kW DSG L&K 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;61591;Škoda Octavia;499000;for_sale;22.09.2020 16:25
OCTAVIA 2.0 TDI 135 kW 4x4 DSG Scout Combi, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;70925;Škoda Octavia;519000;for_sale;22.09.2020 16:25
OCTAVIA 2.0 TDI 4x4 DSG RS Combi, kombi, 1 968 ccm;2018;1 968 ccm;NAFTA;52458;Škoda Octavia;599000;for_sale;22.09.2020 16:25
OCTAVIA 1.6 TDI 66kW Ambition Combi, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;183903;Škoda Octavia;199000;for_sale;28.09.2020 11:34
OCTAVIA 1.6 TDI 81kW Ambition, liftback, 1 598 ccm;2016;1 598 ccm;NAFTA;159681;Škoda Octavia;209000;for_sale;28.09.2020 11:34
OCTAVIA 1.6 TDI 66kW Active Combi, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;169671;Škoda Octavia;219000;for_sale;28.09.2020 11:34
OCTAVIA 1.6 TDI 81kW Ambition Fresh Combi, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;119547;Škoda Octavia;269000;for_sale;28.09.2020 11:34
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;170915;Škoda Octavia;279000;for_sale;28.09.2020 11:34
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;135746;Škoda Octavia;289000;for_sale;28.09.2020 11:34
OCTAVIA 1.6 TDI 81kW Style 4x4, hatchback, 1 598 ccm;2016;1 598 ccm;NAFTA;154297;Škoda Octavia;299000;for_sale;28.09.2020 11:34
OCTAVIA 2.0 TDI 110kW L&K, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;201401;Škoda Octavia;299000;for_sale;28.09.2020 11:34
OCTAVIA 1.4 CNG Ambition G-TEC Combi, kombi, 1 395 ccm;2017;1 395 ccm;ZEMNÍ PLYN;154963;Škoda Octavia;309000;for_sale;28.09.2020 11:34
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;183631;Škoda Octavia;319000;for_sale;28.09.2020 11:34
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;156523;Škoda Octavia;329000;for_sale;28.09.2020 11:34
OCTAVIA 1.0 TSI 85kW Ambition Fresh Combi, kombi, 999 ccm;2017;999 ccm;BENZÍN;59457;Škoda Octavia;339000;for_sale;28.09.2020 11:34
OCTAVIA 1.6 TDI 81kW Ambition Combi 4x4, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;85753;Škoda Octavia;349000;for_sale;28.09.2020 11:34
OCTAVIA 1.0 TSI 85kW Style Combi, kombi, 999 ccm;2017;999 ccm;BENZÍN;100878;Škoda Octavia;349000;for_sale;28.09.2020 11:34
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;110199;Škoda Octavia;349000;for_sale;28.09.2020 11:34
OCTAVIA 2.0 TDI 110kW DSG Style Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;81867;Škoda Octavia;359000;for_sale;28.09.2020 11:34
OCTAVIA 2.0 TDI 110kW DSG Style, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;125424;Škoda Octavia;379000;for_sale;28.09.2020 11:34
OCTAVIA 2.0 TDI 135 kW DSG Style 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;73040;Škoda Octavia;399000;for_sale;28.09.2020 11:34
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;73530;Škoda Octavia;399000;for_sale;28.09.2020 11:34
OCTAVIA 1.8 TSI 132kW DSG L&K Combi, kombi, 1 798 ccm;2017;1 798 ccm;BENZÍN;148285;Škoda Octavia;399000;for_sale;28.09.2020 11:34
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2018;1 968 ccm;NAFTA;31744;Škoda Octavia;429000;for_sale;28.09.2020 11:34
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2018;1 968 ccm;NAFTA;42916;Škoda Octavia;439000;for_sale;28.09.2020 11:34
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2018;1 968 ccm;NAFTA;53011;Škoda Octavia;449000;for_sale;28.09.2020 11:34
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2018;1 968 ccm;NAFTA;34654;Škoda Octavia;459000;for_sale;28.09.2020 11:34
